2019-09-07 10:18:18,723 [  11742]   WARN - llij.ide.plugins.PluginManager - Stackexchange not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,723 [  11742]   WARN - llij.ide.plugins.PluginManager - Kubernetes Runtime Configuration not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,724 [  11743]   WARN - llij.ide.plugins.PluginManager - Grazi not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,801 [  11820]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2019-09-07 10:18:18,802 [  11821]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2019-09-07 10:18:19,312 [  12331]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2019-09-07 10:18:19,351 [  12370]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2019-09-07 10:18:19,756 [  12775]   INFO - j.ide.ui.OptionsTopHitProvider - 43 ms spent to cache options in application 
2019-09-07 10:18:19,846 [  12865]   INFO - tellij.diagnostic.LoadingPhase - Reached FRAME_SHOWN loading phase 
2019-09-07 10:18:19,920 [  12939]   INFO - il.indexing.FileBasedIndexImpl - File index extensions iterated:401 
2019-09-07 10:18:20,642 [  13661]   INFO - ndex.PrebuiltIndexProviderBase - Using prebuilt id-index from C:\Users\Gentian\.PyCharmCE2019.2\system\index\.persistent\prebuilt\Python\id-index.input 
2019-09-07 10:18:21,004 [  14023]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:XML,PythonStub,R,Properties,HTML,Python 
2019-09-07 10:18:21,661 [  14680]   INFO - pl$FileIndexDataInitialization - Initialization done:2142 
2019-09-07 10:18:21,853 [  14872]   INFO - pl.projectlevelman.NewMappings - VCS Root: [Git] - [C:/Users/Gentian/Dropbox/Uni/Programm/Python] 
2019-09-07 10:18:21,969 [  14988]   INFO - exImpl$StubIndexInitialization - Initialization done:307 
2019-09-07 10:18:22,223 [  15242]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=13, fontScale=1.0; restored: fontSize=13, fontScale=1.0 
2019-09-07 10:18:22,853 [  15872]   INFO - j.ide.script.IdeStartupScripts - 0 startup script(s) found 
2019-09-07 10:18:23,021 [  16040]   INFO - rojectCodeStyleSettingsManager - Initialized from default code style settings. 
2019-09-07 10:18:26,843 [  19862]   INFO - ge.ExternalProjectsDataStorage - Load external projects data in 5 millis (read time: 1) 
2019-09-07 10:18:26,929 [  19948]   INFO - .diagnostic.PerformanceWatcher - Post-startup activities under progress took 3373ms; general responsiveness: ok; EDT responsiveness: 0/3 sluggish, 1/3 very slow 
